Cross Lochs,Restored 2006,Restored 2015,Erosion
1.16215301,1.17043197,1.21062255,1.22308135
1.1586256,1.17781138,1.22605121,1.22393227
1.16118145,1.16668117,1.22862446,1.22347164
1.17971945,1.16224349,1.25837541,1.23394096
1.17968464,1.17379308,1.29012525,1.21244299
1.18238497,1.17351437,1.21232963,1.21702707
1.17674112,1.18205416,1.26475906,1.22464061
1.16280472,1.17908132,1.24060297,1.23098099
1.17594731,1.16887593,1.27324545,1.2236383
1.17858064,1.18172622,1.24693692,1.2436173
1.18322051,1.16782665,1.24138117,1.24269056
1.1745044,1.17038631,1.18479288,1.2426722
1.15479732,1.17442453,1.16408873,1.24043202
1.14613926,1.16397429,1.17071259,1.24292397
1.15998781,1.15948701,1.1705364,1.21974587
1.15779495,1.17200923,1.17234874,1.21079469
1.17555642,1.178406,1.18030977,1.21099818
1.17419958,1.17202413,1.17840993,1.20028234
1.1708703,1.15341282,1.15554869,1.18105662
1.16014445,1.15513039,1.14449775,1.1884321
1.15697229,1.16409612,1.18387651,1.18907785
1.14948368,1.16854286,1.21426296,1.20075786
1.15350235,1.16315889,1.23787832,1.20486069
1.15373731,1.17105329,1.22860396,1.21569788
1.15523636,1.19165039,1.24326503,1.1952678
1.15893769,1.17134583,1.21860862,1.18313122
1.1536299,1.1604948,1.22187197,1.19139719
1.15861952,1.16189337,1.23664582,1.20426953
1.15909684,1.15678036,1.22474289,1.2124697
1.15211034,1.16385221,1.25457215,1.21483684
1.1589098,1.16786885,1.2514348,1.21835804
1.16594005,1.16495335,1.23691523,1.22043777
1.15511966,1.17198253,1.21484303,1.19409013
1.15174532,1.16339469,1.21963096,1.19419217
1.19033682,1.10779977,1.23649621,1.20080113
1.19612837,1.16677201,1.23630202,1.20328128
1.16602385,1.17902005,1.23671842,1.19700885
1.17058671,1.17656374,1.2554363,1.20681965
1.17255449,1.17064846,1.2576406,1.2689234
1.17042136,1.16908848,1.22824299,1.33542347
1.15872669,1.17496252,1.24417996,1.34175241
1.15811801,1.18189836,1.23553491,1.28204751
1.18043816,1.18814921,1.2202698,1.23209381
1.18356752,1.19231582,1.19916952,1.21291614
1.18278933,1.18575931,1.18984926,1.20138347
1.19119966,1.19909537,1.2014358,1.21035564
1.19522274,1.19114542,1.22158813,1.1858896
1.23062003,1.1807611,1.22795105,1.19506192
1.26580179,1.17782366,1.21961904,1.19463801
1.2805649,1.17216814,1.21262991,1.20500386
1.33601642,1.15849805,1.15552187,1.20149541
1.28911531,1.16107774,1.12985241,1.20187283
1.28354156,1.17875934,1.19146788,1.20672774
1.30105913,1.18800294,1.11625946,1.21284616
1.29268074,1.18353641,1.11947238,1.20168972
1.26052463,1.18362391,1.17778695,1.21869242
1.24752295,1.18636107,1.15844917,1.22551787
1.24009347,1.19699705,1.10796845,1.24020588
1.23776817,1.20070302,1.16235065,1.23526359
1.24274993,1.21045077,1.21216476,1.20692766
1.24750841,1.20313311,1.17253959,1.20326316
1.27858043,1.20111859,1.12872291,1.20216775
1.25449347,1.20569348,1.09639752,1.21098316
1.2391485,1.19393384,1.13243949,1.23413348
1.23945022,1.18034267,1.08023548,1.29278505
1.22835314,1.18567741,1.07081199,1.25172925
1.20807266,1.19844568,1.10431623,1.20243192
1.22501099,1.20974708,1.28275001,1.21124375
1.23825085,1.22496843,1.43373322,1.22210658
1.21145201,1.23879683,1.26036513,1.23900402
1.22541928,1.24914181,1.23197126,1.26367021
1.22332335,1.26905739,1.25793242,1.26554108
1.21831453,1.2557857,1.25823689,1.24132872
1.20499849,1.24375927,1.26943672,1.23002601
1.20417106,1.2210387,1.25656939,1.24648249
1.20061147,1.20802796,1.2482686,1.19716144
1.19457042,1.20160997,1.26570296,1.19781995
1.19131684,1.20798671,1.29076898,1.20119941
1.18595314,1.20582879,1.25576437,1.20192683
1.19461155,1.2073909,1.18101847,1.22279656
1.21582246,1.18942142,1.22493696,1.21932149
1.23097229,1.20551121,1.24094737,1.281299
1.36875939,1.20194447,1.24453461,1.22735572
1.3471638,1.2125237,1.24120796,1.2101078
1.28784764,1.19216299,1.2509892,1.19535005
1.21008217,1.19418466,1.31622231,1.19094205
1.23601294,1.19719255,1.28757513,1.19085991
1.21828604,1.21306467,1.26927018,1.20185137
1.19906306,1.21738255,1.29277825,1.23191905
1.20368516,1.22006369,1.29130471,1.21983182
1.21322882,1.21571469,1.29178524,1.21747351
1.24030447,1.21083212,1.30462754,1.21782541
1.38425612,1.24453616,1.31877601,1.21719182
1.04497194,1.24562573,1.287817,1.22427523
0.87446868,1.25162113,1.28308654,1.22033477
0.87965953,1.24067581,1.27480721,1.2312746
0.89908224,1.2307843,1.24750471,1.23322475
0.94669139,1.22247732,1.28206873,1.24993157
0.97580719,1.2275244,1.28108335,1.26650202
1.05359101,1.24134517,1.25192273,1.22351706
1.0739013,1.2534343,1.27542484,1.21370232
1.10650682,1.34696198,1.27443302,1.20329487
1.12237298,1.35035694,1.28823161,1.20380044
1.10688996,1.39035952,1.28555894,1.23892438
1.11174226,1.30455661,1.27329576,1.22834516
1.13796794,1.42656744,1.26612818,1.21404147
1.12743926,1.44032192,1.26472461,1.22236073
1.15308285,1.37105036,1.25785816,1.24193907
1.15731144,1.35103106,1.24330509,1.250687
1.19304514,1.32862234,1.24226058,1.24045992
1.13774657,1.3794899,1.2783463,1.22640502
1.15781152,1.43501246,1.29667997,1.2258867
1.15233207,1.5050137,1.2884711,1.22722256
1.13797319,1.48440719,1.2936945,1.21264422
1.09575927,1.44959331,1.31680179,1.19791114
